0,Data Analyst,Zeuner S.p.A,,"Attività da svolgere: Creazione report clienti inbound e outbound;Creazione Database per l’elaborazione ed estrazione dati;Creazione reportistiche interne (curve di traffico, marginalità, economic, flussi di chiamate ecc.);Competenze: conoscenza avanzata del pacchetto Office, nello specifico Excelconoscenza avanzata dei Db AccessConoscenza del linguaggio SQLconoscenza, creazione e gestione power pivot in Excel e AccessCompetenze personali :-Attitudine al problem solving- Pensiero analitico ed ottime doti di pianificazione e comunicazione- flessibilità, creatività- orientamento ai risultati,- passione per l’innovazione e il miglioramento continuo di processi,- capacità di multitasking per la gestione in parallelo di diversi progetti.Contratto di lavoro: Tempo pienoWork Location: One location",www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AyKp_YcVnGMnkvQmlZuzSOH04IKrYGTZwlae3pN_1eRq0v3FbALiTUf6UuwbBtC0HGymCVSIdwBvmKSPi_T1oMm5GAJsJm82qDBfyicxVxkmxU0tSc2h-6iuFF_S2sxRucXFzOHv0XjG497etCfnu9I3HE8GCJhb_g9qv5OicgK6LR4lxGk-7ESqzt_K5t4A2d8WPYqQnmsuw1zsScTnWbYke71ix31m23p0K8VJk-ncjUMBmgbVkBeJYdy91CPS6J7nLWIXIL8mqlSTc4lbMioB7RY8y5ggG0p_VCxgnVmgxwl6s9esbXuTjAvGJIzNhODNIaooBmmiDJQxsflpv1oUZKDApAhb1P8M6PdA7PrKHf9Bg4h9zwHHdZa-xOu553Puay7gEPCnVLzBWAAbugVQ2PCzYJq5_S7yofel5s56CZss7Zh1tc2XfjAhrXgNJXSEYhHMaEIKZyjnhzYPi4YvmOFu8arL4=&p=0&fvj=1&vjs=3,20220117
1,Jr. Data Analyst,Ignite Tek,Bachelor's (Preferred)Business Analysis: 1 year (Preferred),"The Researcher / Junior Strategist (RJS) performs; qualitative and quantitative research, develops front end reports (data visualization), and supports the development of strategic business solutions that optimize client profit margins. Tasks are on an ongoing and project basis. Accountable to understand, disaggregate and prioritize research and information needs to drive decision making from all marketing sources available. These marketing sources may include but are not limited to, Customer service calls, Outbound calls, Sales calls, Social media channels, online reviews, emails, live chat, customer surveys and more to unify and provide a comprehensive understanding of the underlying opportunities for the brand and customer base.Job Functions: Ensures clients and our company are aligned on key performance metrics, establishing realistic goals, and providing accountability through reportingUnderstand the structure and general business needs of the organization and recommends data driven solutions that enable the business to achieve goals and improve processesCollaborate on projects creating meaningful marketing solutions, supporting documents, and visual representation of data findingsManages deadlines and expectations for projects through regular communicationLead for data cleaning, standardization, governance, and best practicesText mining to identify patterns in qualitative data sets such as, finding early warning indicators in product development or shifts in customer sentimentBuild predictive models using multiple types and sources of dataGather & test the accuracy of model dataPost-hoc testsExplore new and under-utilized functionality within existing data analytics tools to streamline consumption and distribution of reporting and dataDevelop Q/A phases of a project lifecycleSkills: Knowledge using statistical software (R, Python, etc.)Advanced Microsoft Office (Excel, PPT, Word)Advanced data visualization techniquesJob Type: Full-timePay: $40,000.00 - $45,000.00 per yearBenefits:401(k)Dental insuranceHealth insuranceLife insurancePaid time offVision insuranceSchedule:8 hour shiftMonday to FridaySupplemental Pay:Commission payCOVID-19 considerations:NoApplication Question(s):Do you have experience with PowerBi?Education:Bachelor's (Preferred)Experience:Business Analysis: 1 year (Preferred)Work Location: Remote",www.indeed.com/company/Ignite-Tek/jobs/Junior-Data-Analyst-13cc08b7afa9afb5?fccid=24d1e9f6b9cb8f30&vjs=3,20220117
2,Data Analyst,The Mom Project,,"Our Customer, a Fortune 500 company, is an American producer and marketer of beer, wine, and spirits. They are the largest beer import company in the US, measured by sales, and have the third-largest market share of all major beer suppliers. We are seeking an Exports Management Resource/International Planner on a contract basis . This data analyst will be responsible for providing detailed analysis of data, development of requirements, design, and mapping of data. The data analyst will work closely with the business to understand the business process and workflow and develop baseline documentation. Generate documentation for requirements, mapping, and business rules.  What you’ll do: Work closely with database engineers to develop structured data input process and data quality management workflow Partner with the business to scope, design, and deliver appropriate data warehouse solution Assist with design, technical requirements, and integration of data warehouse Optimize data warehouse to support business users and Business Intelligence (BI) applications such as Cognos and other analytics tools Analyze existing source system data structures and map them to data warehouse schemas; incorporate future data sources into schemas Analyze data integration problems, provide solutions and recommend and execute corrective actions Performs other duties as assigned by the manager. Support area leader in setting up S&OE processes to tie together Demand and Supply for INTL markets Support area leader in standing up INTL focused S&OP sessions Improve inventory availability visibility for INTL teams, and advocate for them in supply-constrained situations Work with Customer Service and INTL teams to improve visibility towards order fulfillment Proactively work with INTL teams on order prioritization in supply-constrained situations Other data analysis, report design and report publication activities as assigned by the area leader  Must-Haves: 1-3 years experience in Planning, Finance, Optimization, Continuous Improvement, or other analytical roles Excellent proficiency in Excel including Pivot Table, Nested Formulas, etc.; experience in modeling with large, disparate datasets and visualization techniques Highly developed interpersonal skills and ability to work collaboratively with co-workers, related internal functions, external partners, and on project teams. Strong critical thinking & problem-solving skills Demonstrated hands-on experience with SAP/JDA Must have strong communication and documentation skills Expert knowledge of data warehouse concepts Solid understanding of BI technology Experience gathering/developing business requirements, technical requirements, and transforming them into actionable items Experienced in developing and supporting data warehouses and data marts from business requirements through logical modeling, physical database design, data sourcing, data transformation, data loading, and performance tuning. Ability to work well with individuals at all levels in the organization. Ability to adapt and react quickly to changing business needs.  Education: Bachelor’s Degree in Information Systems, Computer Science, or equivalent knowledge/experience is required.  Hours & Location: M-F, 40 hours/week. This role will be remote while COVID restrictions are in place. The expectation is to be onsite at our Customer’s Los Angeles, CA location once it is deemed safe to do so. All applicants applying for U.S. job openings must be legally authorized to work in the United States and are required to have US residency at the time of application. Perks are available through our 3rd Party Employer of Record (Available upon completion of waiting period for eligible engagements). Health Benefits: Medical, Dental, Vision, Life (including spouse & child), 401k, STD/LTD, AD&D, and Commuter Benefits program.",www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDp_epf89aHDQhKpPegNJQ_ldQpEFZQsM9OcONMGxWx6pU56EKHF58QjVdAUvn2gXojQc_rcMtr3QUk2gqCENTXvOZ5qnGzoP3eNuQAIRoafew6jsuNUWABzpBH33sWc7jYN0OGOkSm2WSSXmzycZ1nN7npUNCiAFH3coueJXn8bFXdsmKU3xpoEB0oC4K4LiXC6l47VnvJ_yykhh9Gj17vVYqXTJy1dCP_yemIgb6N8Xs-bX6mKTpSt7bHzAjoSBAgR4bYCnpKrkOWqinoDEPL-Ql_j6E0ML3yhqeAiXUrPgV0_RboUru2fPlDrgWCppBBmovlqU0hMlULY9Ua5o-T-vZair-RCl0nIE7ARsKLNeLtiI5QrA6KSbifuQDo5-Cg7BUE_1F-tZZUnpboDZS1_Qftqm-JEaVqN32ib4ucIOoJxtg42PPHDCblqg0wKbw9_-88UU3X3YhW1B6yXK4X2fJGE3SZ4UcHxT8HFvkMBo8yT8aqt4RdY-CX1b5-Or16-nzqGBRw0nmW_r0GuSOV7WA9IUg-wC7aTwUPDjjPZB6jiJbASvM6vWE-nD4hpuMbRPeUnWLEqFBcuqgzRvZzr_q_ygv66EJEcXerQxWxRHK_msjOLr0SerIZnSxxg29071Cwo5eOlUJgrARvbI3b47UzvXyE6LnrKoAv2NvdZV5yIKHMCQY-HVa9jOujYMZyVB2vzmHMDkreIO_SXnz4BxFWqkKzLShpkdvCvad3Fb6MXvtzzGy&p=2&fvj=0&vjs=3,20220117
3,Business Analyst I,Meridian Cooperative,US work authorization (Required)Bachelor's (Preferred),"Meridian Cooperative is looking for a Business Analyst I to help lead our Vision 2025 mission in our FIS Department.About Us: We were formed in 1976 by a group of Electric Membership Cooperatives with a vision for a single enterprise solution provider to serve data processing, IT, and operational needs to cooperatives, public utility districts, and municipal utilities. Through carefully curated acquisitions and partnerships, Meridian Co-op has unified multiple leading-edge companies under its umbrella in order to truly execute that vision. Today, the Meridian Suite serves over 500 utilities across the country with industry leading enterprise software solutions.Role & Responsibilities: The Business Analyst l support customers in the data analysis process with data acquisition, preparation, and presentation.Roles & Responsibilities:Supports customers in the data analysis process with data acquisition, preparation, and presentation.Maintains data server at customer sites by performing maintenance and upgrade procedures on remote servers. Specifies the hardware and software required to install and use the software at customer sites.Help support the creation process procedures and instructional manuals for implementing and use of software at customer sites.Research new ways to visualize data and reporting capabilities and presents them to customers.Minimum Qualifications: Bachelor’s Degree with 1+ years of corporate experience.Excellent communication skillsExcellent time management skillsAbility to work flexible hours and meet deadlines as neededProject Management experience is a plusGuided by our Vision 2025 strategy, our leaders have developed 5 stretch goals to achieve a best-in-class organization for our members, customers, and employees.It is a priority that our future team member embraces these goals and demonstrate the behaviors to guide the company to realize success:Act as One Unified CompanyPut Our Members/Customers First in All We DoBe Known for Our Innovative Products and PeopleGrow our Reputation and Market ShareCompete on CultureWe Offer:Competitive medical benefits package including health, dental, vision, and life401(k) with up to 9% in company contributions after one year$4,000 for tuition reimbursementWellness reimbursement planJob Type: Full-timePay: $55,000.00 - $65,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceEmployee assistance programFlexible scheduleFlexible spending accountHealth insuranceHealth savings accountLife insurancePaid time offParental leaveProfessional development assistanceReferral programRetirement planTuition reimbursementVision insuranceSchedule:8 hour shiftMonday to FridayApplication Question(s):What is your desired salary/income expectation?Do you have any experience with Project Management?Education:Bachelor's (Preferred)Experience:Corporate: 1 year (Preferred)Work Location: Remote",www.indeed.com/company/Southeaster-Data-Cooperative-(SEDC)/jobs/Business-Analyst-5f8b3d4561377c95?fccid=0cb03f5e3e41c329&vjs=3,20220117
4,Data Analyst,Atlas Executive Consulting,,"Atlas Executive Consulting, LLC (Atlas), has an exciting opportunity for an entry-level Data Analyst role in San Diego, CA. We are looking for an enthusiastic individual that is an analytical, motivated self-starter with superior listening, effective communication, and organizational skills to support our corporate operations team. This individual will support the design, testing and production of data initiatives within the Microsoft Azure environment. As required by applicable federal law, rule, regulation, and/or mandate or otherwise, must have received or be willing to receive the COVID-19 vaccine by date of hire. Responsibilities: Use automated tools to extract data from primary and secondary sources Remove corrupted data and fix coding errors and related problems Develop and maintain databases and data systems Perform analysis to assess quality and meaning of data Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets that could be helpful for the diagnosis and prediction Prepare reports for management stating trends, patterns, and predictions using relevant data Work with executives, managers, and business analysts to identify process improvement opportunities, propose system modifications, and devise data governance strategies Prepare analysis reports for the stakeholders to understand the data-analysis steps, enabling them to take important decisions based on various facts and trends Drive initiatives through the Microsoft Power Platform applications including PowerBI dashboards Train end-users on how to read reports and use dashboards Minimum Qualifications: Bachelor’s degree in Computer Science, Engineering, Mathematics, or related field Experience writing SQL queries Experience designing and building data visualization reports within PowerBI and Tableau Proficient in MS Excel including Power Query or Power Pivot Demonstrated experience in handling large data sets and relational databases Excellent problem-solving skills, and the self-motivation to improve skills Excellent written and oral communication skills Preferred Qualifications: Experience with Azure SQL Atlas, www.atlasexecutive.com, is a Service-Disabled Veteran Owned Small Business specializing in business management consulting to the Department of Defense and other Federal Agencies. Atlas was recently named one of Consulting Magazines 2017 seven Small Jewels, highlighting the growth and innovation the firm brings to market. In 2016, Atlas was named the #1 best midsize business to work for in San Diego and is considered one of the fastest growing businesses in South Carolina by the SC business news. Atlas is an EEO/AA/Disability/VETS Employer. Hiring, promotion, transfer, compensation, benefits, discipline, termination, and all other employment decisions are made without regard to race, color, religion, sex, sexual orientation, gender identity, age, disability, national origin, citizenship/immigration status, veteran status, or any other protected status. For individuals who would like to request an accommodation, please visit https://bit.ly/2XqZoLM (CA) or https://bit.ly/3Eo922f (SC) or contact Human Resources at hr@atlasexecutive.com. Atlas will not make any posting or employment decision that does not comply with applicable laws relating to labor and employment, equal employment opportunity, employment eligibility requirements or related matters. Nor will Atlas require, in a posting or otherwise, U.S. citizenship or lawful permanent residency in the U.S. as a condition of employment except as necessary to comply with law, regulation, executive order, or federal, state, or local government contract.",www.indeed.com/rc/clk?jk=48b546459ff5236a&fccid=5e501a3475cc1130&vjs=3,20220117
5,"Analyst, Data",Molina Healthcare,,"JOB DESCRIPTION Job Summary Designs and implements processes and solutions associated with a wide variety of data sets used for data/text mining, analysis, modeling, and predicting to enable informed business decisions. Gains insight into key business problems and deliverables by applying statistical analysis techniques to examine structured and unstructured data from multiple disparate sources. Collaborates across departments and with customers to define requirements and understand business problems. Uses advanced mathematical, statistical, querying, and reporting methods to develop solutions. Develops information tools, algorithms, dashboards, and queries to monitor and improve business performance. Creates solutions from initial concept to fully tested production, and communicates results to a broad range of audiences. Effectively uses current and emerging technologies. KNOWLEDGE/SKILLS/ABILITIES  Extracts and compiles various sources of information and large data sets from various systems to identify and analyze outliers.  Sets up process for monitoring, tracking, and trending department data.  Prepares any state mandated reports and analysis.  Works with internal, external and enterprise clients as needed to research, develop, and document new standard reports or processes.  Implements and uses the analytics software and systems to support the departments goals.  JOB QUALIFICATIONS Required Education  Associate's Degree or equivalent combination of education and experience  Required Experience  1-3 years  Preferred Education  Bachelor's Degree or equivalent combination of education and experience  Preferred Experience  3-5 years  To all current Molina employees: If you are interested in applying for this position, please apply through the intranet job listing.  Molina Healthcare offers a competitive benefits and compensation package. Molina Healthcare is an Equal Opportunity Employer (EOE) M/F/D/V.",www.indeed.com/rc/clk?jk=2c3d8994df33aff4&fccid=61b6afe09a420e77&vjs=3,20220117
6,Data Analyst,PC Matic,US work authorization (Required)Bachelor's (Preferred)Microsoft Excel: 1 year (Preferred)Data analytics: 1 year (Preferred),"PC Matic, a leading cybersecurity company that has been around for more than 20 years, is looking for a Data Analyst to work from home.Duties: Refresh existing reports on a standard cadence (daily, weekly, monthly, annually, etc.)Create ad hoc reports as requested by marketing and sales teams.Triage data and report issues and provide timely resolutions.Update and create sql statements using Microsoft SQL Studio.Collaborate with marketing and sales teams for data and reports needed to complete special projects.Provide data and reports for communication and outreach initiatives.Skills: Create and maintain data visualizations in analytics software such as Power BI, Tableau, etc.Experience with relational databases, including the creation of queries across multiple databases and tables, importing and exporting data, and creation of new tables.Microsoft SQL Studio experience preferred.Proficient in MS Excel, specifically the creation of pivot tables and charts.Ability to interpret data to inform business decisions.This is a full-time position working from home with a flexible schedule.PC Matic offers a yearly bonus, employee stock options, free health insurance, and monthly stipends for your cell phone, internet, gym membership, and doctor office and prescription co-pays.Company meetings are held twice a year (April & October) in a different city. Travel requirement is 4-5 days for each meeting.Must be a citizen of the United States.Visa sponsorships are not available.Job Type: Full-timePay: $60,000.00 - $80,000.00 per yearBenefits:Dental insuranceFlexible scheduleHealth insurancePaid time offVision insuranceSchedule:8 hour shiftMonday to FridaySupplemental Pay:Bonus payEducation:Bachelor's (Preferred)Experience:Microsoft SQL Studio: 1 year (Preferred)Tableau or Power BI: 1 year (Preferred)Microsoft Excel: 1 year (Preferred)Data analytics: 1 year (Preferred)Language:Fluent English (Required)Work Location: Remote",www.indeed.com/company/PC-Matic/jobs/Data-Analyst-7b74d659d5d1f546?fccid=80cfad65fe3aee8d&vjs=3,20220117
7,Data Analytics Analyst,Novanta,Microsoft Excel: 2 years (Required)Financial report interpretation: 1 year (Preferred),"This job is responsible for driving visibility by reporting commercial KPI’s (Key Performance Indicators) to ensure that annual and long-term revenue and gross margin goals are achieved.Primary ResponsibilitiesWeekly bookings, shipments and backlog report generationManage and report on other KPI’s such as On-time delivery, pricing impact, Design win growth, NPI growth, Target application market growthMaintenance of KPI forecasting modelMaster Data management of several systems (Power BI, Oracle, Sales force.com) to improve and create consistency and adherence to corporate reporting definitions.Required Experience, Education, Skills, Training and CompetenciesIdeally work in reporting function for commercial finance organization for 1-2 years.Strong Excel skills and ability to aggregate large data sets from several different source systems.Systems experience with Power BI, Salesforce.com and Oracle preferred but not mandatorySelf-motivated strong communicator with the ability to prioritize and work with strict deadlines.Job Type: Full-timePay: $60,000.00 per yearBenefits:401(k)Dental insuranceFlexible scheduleHealth insurancePaid time offTuition reimbursementVision insuranceSchedule:8 hour shiftDay shiftMonday to FridayExperience:Microsoft Excel: 2 years (Required)Financial report interpretation: 1 year (Preferred)Work Location: Remote",www.indeed.com/company/Novanta/jobs/Data-Analytic-Analyst-f8c2b5b47b3150e6?fccid=78eca95d783eaf09&vjs=3,20220117
8,Data Analyst,Georgia Tech,,"Collect and analyze space-related data, and prepare routine and ad hoc narrative and graphical reports describing the information, findings, and conclusions from data for institutional and other purposes. Prepare various annual reports and data submissions to the University System of Georgia and other state agencies and other campus reports. This position will interact on a regular basis with: staff. This position typically will advise and counsel: staff. This position will supervise: NA  Other Information  This is not a supervisory position. This position does not have any financial responsibilities. No, this position will not be required to drive. This role is not considered a position of trust. This position does not require a purchasing card (P-Card). This position will not travel This position does not require security clearance.",www.indeed.com/rc/clk?jk=0a16710bde50e29f&fccid=db25687464a9ecf6&vjs=3,20220117
9,Data Analyst- Remote,Next Gear Solutions,,"Not all companies are made equal, and at Next Gear Solutions this adage could not be more true. The team at Next Gear Solutions has reimagined how to dramatically improve a homeowner’s experience after damage to their property. Our holistic platform approach helps stakeholders reach successful outcomes during the property owners’ moment of need, a claim to their home or business, e.g. after a hurricane, hailstorm, or water loss. With Next Gear’s solutions 8,500+ contractors run and grow more profitable businesses, leading of insurance carriers settle claims more accurately and efficiently, and technology providers become a more integrated delivering innovation into the modern claim experience. We offer more than just software: we start with passion for the user and true partnership to understand the feature-rich products needed and back those up with five-star service and support. Next Gear is proudly committed to equal employment opportunity, diversity, inclusion, and equity- our differences are our strength. The Role  We are seeking an investigative, detail-oriented Data Analyst to join our team, responsible for understanding and operationalizing data delivery by sifting through data and providing reports and visualizations to explain the insights and trends in the data. This role is full-time and can be worked remotely or in one of our office locations (all offices are currently closed until it's safe to reopen). Benefits include paid health, dental, vision, and life insurance, generous time off policy, paid maternity and paternity leave, 401k with match, gym/fitness app membership, and a laid-back and fun work environment. Critical Job Duties:  Interpret data, evaluate results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases/data systems Identify and interpret trends or patterns in complex data sets Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems Work with management to prioritize business and information needs Locate and define new process improvement opportunities   Specific Qualifications:  Some working experience as a Data Analyst, Business Data Analyst, or equivalent preferred Knowledge of/experience in data models, database design development, data mining and segmentation techniques Knowledge of and experience with reporting packages Knowledge of statistics and experience using statistical packages for scrutinizing datasets Strong investigative skills with the ability to collect, organize, interpret, and disseminate significant amounts of information with attention to detail and accuracy Adept at queries, report writing and presenting findings BS in Mathematics, Economics, Computer Science, Information Management or Statistics is a plus",www.indeed.com/rc/clk?jk=1c714907a8e8849a&fccid=94f4fbe64489cfae&vjs=3,20220117
